original_inventory_sector,start_time,end_time,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,activity,activity_units,source_name
road-transportation,1/1/2022,12/31/2022,ch4,6.307782141,2.10E-08,T of CH4 per VKT,389.916998,km,300000000,vehicle km traveled (VKT),Khanpur Urban Area in Bahawalpur Division
road-transportation,1/1/2021,12/31/2021,n2o,1.683497619,5.77E-09,T of N2O per VKT,398.7059071,km,292000000,vehicle km traveled (VKT),Attock Urban Area in Rawalpindi Division
road-transportation,1/1/2021,12/31/2021,co2,50073.66236,0.000171761,T of CO2 per VKT,398.7059071,km,292000000,vehicle km traveled (VKT),Attock Urban Area in Rawalpindi Division
road-transportation,1/1/2021,12/31/2021,ch4,6.135116804,2.10E-08,T of CH4 per VKT,398.7059071,km,292000000,vehicle km traveled (VKT),Attock Urban Area in Rawalpindi Division
road-transportation,1/1/2022,12/31/2022,n2o,1.703402037,5.77E-09,T of N2O per VKT,406.6036772,km,295000000,vehicle km traveled (VKT),Attock Urban Area in Rawalpindi Division
road-transportation,1/1/2022,12/31/2022,co2,50665.69595,0.000171761,T of CO2 per VKT,406.6036772,km,295000000,vehicle km traveled (VKT),Attock Urban Area in Rawalpindi Division
road-transportation,1/1/2022,12/31/2022,ch4,6.207653843,2.10E-08,T of CH4 per VKT,406.6036772,km,295000000,vehicle km traveled (VKT),Attock Urban Area in Rawalpindi Division
road-transportation,1/1/2021,12/31/2021,n2o,1.593859577,5.77E-09,T of N2O per VKT,291.1470603,km,276000000,vehicle km traveled (VKT),Jhelum Urban Area in Gujranwala Division
road-transportation,1/1/2021,12/31/2021,co2,47407.48392,0.000171761,T of CO2 per VKT,291.1470603,km,276000000,vehicle km traveled (VKT),Jhelum Urban Area in Gujranwala Division
road-transportation,1/1/2021,12/31/2021,ch4,5.808451739,2.10E-08,T of CH4 per VKT,291.1470603,km,276000000,vehicle km traveled (VKT),Jhelum Urban Area in Gujranwala Division
road-transportation,1/1/2022,12/31/2022,n2o,1.687942741,5.77E-09,T of N2O per VKT,297.2857348,km,292000000,vehicle km traveled (VKT),Jhelum Urban Area in Gujranwala Division
road-transportation,1/1/2022,12/31/2022,co2,50205.8773,0.000171761,T of CO2 per VKT,297.2857348,km,292000000,vehicle km traveled (VKT),Jhelum Urban Area in Gujranwala Division
road-transportation,1/1/2022,12/31/2022,ch4,6.15131602,2.10E-08,T of CH4 per VKT,297.2857348,km,292000000,vehicle km traveled (VKT),Jhelum Urban Area in Gujranwala Division
road-transportation,1/1/2021,12/31/2021,n2o,1.607704385,5.77E-09,T of N2O per VKT,335.6600438,km,278000000,vehicle km traveled (VKT),Pir Mahal Urban Area in Faisalabad Division
road-transportation,1/1/2021,12/31/2021,co2,47819.28151,0.000171761,T of CO2 per VKT,335.6600438,km,278000000,vehicle km traveled (VKT),Pir Mahal Urban Area in Faisalabad Division
road-transportation,1/1/2021,12/31/2021,ch4,5.858905933,2.10E-08,T of CH4 per VKT,335.6600438,km,278000000,vehicle km traveled (VKT),Pir Mahal Urban Area in Faisalabad Division
road-transportation,1/1/2022,12/31/2022,n2o,1.666565019,5.77E-09,T of N2O per VKT,338.4711996,km,289000000,vehicle km traveled (VKT),Pir Mahal Urban Area in Faisalabad Division
road-transportation,1/1/2022,12/31/2022,co2,49570.02205,0.000171761,T of CO2 per VKT,338.4711996,km,289000000,vehicle km traveled (VKT),Pir Mahal Urban Area in Faisalabad Division
road-transportation,1/1/2022,12/31/2022,ch4,6.073409871,2.10E-08,T of CH4 per VKT,338.4711996,km,289000000,vehicle km traveled (VKT),Pir Mahal Urban Area in Faisalabad Division
road-transportation,1/1/2021,12/31/2021,n2o,1.575882522,5.77E-09,T of N2O per VKT,299.146515,km,273000000,vehicle km traveled (VKT),Samundri Urban Area in Faisalabad Division
road-transportation,1/1/2021,12/31/2021,co2,46872.77752,0.000171761,T of CO2 per VKT,299.146515,km,273000000,vehicle km traveled (VKT),Samundri Urban Area in Faisalabad Division
road-transportation,1/1/2021,12/31/2021,ch4,5.742938531,2.10E-08,T of CH4 per VKT,299.146515,km,273000000,vehicle km traveled (VKT),Samundri Urban Area in Faisalabad Division
road-transportation,1/1/2022,12/31/2022,n2o,1.660702327,5.77E-09,T of N2O per VKT,302.2794498,km,288000000,vehicle km traveled (VKT),Samundri Urban Area in Faisalabad Division
road-transportation,1/1/2022,12/31/2022,co2,49395.64315,0.000171761,T of CO2 per VKT,302.2794498,km,288000000,vehicle km traveled (VKT),Samundri Urban Area in Faisalabad Division
road-transportation,1/1/2022,12/31/2022,ch4,6.052044649,2.10E-08,T of CH4 per VKT,302.2794498,km,288000000,vehicle km traveled (VKT),Samundri Urban Area in Faisalabad Division
road-transportation,1/1/2021,12/31/2021,n2o,1.533729545,5.77E-09,T of N2O per VKT,366.5484232,km,266000000,vehicle km traveled (VKT),Mian Channu Urban Area in Multan Division
road-transportation,1/1/2021,12/31/2021,co2,45618.98666,0.000171761,T of CO2 per VKT,366.5484232,km,266000000,vehicle km traveled (VKT),Mian Channu Urban Area in Multan Division
road-transportation,1/1/2021,12/31/2021,ch4,5.58932178,2.10E-08,T of CH4 per VKT,366.5484232,km,266000000,vehicle km traveled (VKT),Mian Channu Urban Area in Multan Division
road-transportation,1/1/2022,12/31/2022,n2o,1.61215929,5.77E-09,T of N2O per VKT,393.3926852,km,279000000,vehicle km traveled (VKT),Mian Channu Urban Area in Multan Division
road-transportation,1/1/2022,12/31/2022,co2,47951.78744,0.000171761,T of CO2 per VKT,393.3926852,km,279000000,vehicle km traveled (VKT),Mian Channu Urban Area in Multan Division
road-transportation,1/1/2022,12/31/2022,ch4,5.875140803,2.10E-08,T of CH4 per VKT,393.3926852,km,279000000,vehicle km traveled (VKT),Mian Channu Urban Area in Multan Division
road-transportation,1/1/2021,12/31/2021,n2o,1.554611298,5.77E-09,T of N2O per VKT,312.5579833,km,269000000,vehicle km traveled (VKT),Pakpattan Urban Area in Multan Division
road-transportation,1/1/2021,12/31/2021,co2,46240.0899,0.000171761,T of CO2 per VKT,312.5579833,km,269000000,vehicle km traveled (VKT),Pakpattan Urban Area in Multan Division
road-transportation,1/1/2021,12/31/2021,ch4,5.665420486,2.10E-08,T of CH4 per VKT,312.5579833,km,269000000,vehicle km traveled (VKT),Pakpattan Urban Area in Multan Division
road-transportation,1/1/2022,12/31/2022,n2o,1.597755883,5.77E-09,T of N2O per VKT,319.003405,km,277000000,vehicle km traveled (VKT),Pakpattan Urban Area in Multan Division
road-transportation,1/1/2022,12/31/2022,co2,47523.375,0.000171761,T of CO2 per VKT,319.003405,km,277000000,vehicle km traveled (VKT),Pakpattan Urban Area in Multan Division
road-transportation,1/1/2022,12/31/2022,ch4,5.822650926,2.10E-08,T of CH4 per VKT,319.003405,km,277000000,vehicle km traveled (VKT),Pakpattan Urban Area in Multan Division
road-transportation,1/1/2021,12/31/2021,n2o,1.342530907,5.77E-09,T of N2O per VKT,289.3311213,km,232000000,vehicle km traveled (VKT),Hafizabad Urban Area in Gujranwala Division
road-transportation,1/1/2021,12/31/2021,co2,39932.00739,0.000171761,T of CO2 per VKT,289.3311213,km,232000000,vehicle km traveled (VKT),Hafizabad Urban Area in Gujranwala Division
road-transportation,1/1/2021,12/31/2021,ch4,4.892542666,2.10E-08,T of CH4 per VKT,289.3311213,km,232000000,vehicle km traveled (VKT),Hafizabad Urban Area in Gujranwala Division
road-transportation,1/1/2022,12/31/2022,n2o,1.565455502,5.77E-09,T of N2O per VKT,338.3471799,km,271000000,vehicle km traveled (VKT),Hafizabad Urban Area in Gujranwala Division
road-transportation,1/1/2022,12/31/2022,co2,46562.63802,0.000171761,T of CO2 per VKT,338.3471799,km,271000000,vehicle km traveled (VKT),Hafizabad Urban Area in Gujranwala Division
road-transportation,1/1/2022,12/31/2022,ch4,5.704939672,2.10E-08,T of CH4 per VKT,338.3471799,km,271000000,vehicle km traveled (VKT),Hafizabad Urban Area in Gujranwala Division
road-transportation,1/1/2021,12/31/2021,n2o,1.546014265,5.77E-09,T of N2O per VKT,301.2117976,km,268000000,vehicle km traveled (VKT),Nawabshah Urban Area in Sukkur Division
road-transportation,1/1/2021,12/31/2021,co2,45984.38125,0.000171761,T of CO2 per VKT,301.2117976,km,268000000,vehicle km traveled (VKT),Nawabshah Urban Area in Sukkur Division
road-transportation,1/1/2021,12/31/2021,ch4,5.634090594,2.10E-08,T of CH4 per VKT,301.2117976,km,268000000,vehicle km traveled (VKT),Nawabshah Urban Area in Sukkur Division
road-transportation,1/1/2022,12/31/2022,n2o,1.556467517,5.77E-09,T of N2O per VKT,312.8423303,km,270000000,vehicle km traveled (VKT),Nawabshah Urban Area in Sukkur Division
road-transportation,1/1/2022,12/31/2022,co2,46295.30096,0.000171761,T of CO2 per VKT,312.8423303,km,270000000,vehicle km traveled (VKT),Nawabshah Urban Area in Sukkur Division
road-transportation,1/1/2022,12/31/2022,ch4,5.672185046,2.10E-08,T of CH4 per VKT,312.8423303,km,270000000,vehicle km traveled (VKT),Nawabshah Urban Area in Sukkur Division
road-transportation,1/1/2021,12/31/2021,n2o,1.513742225,5.77E-09,T of N2O per VKT,360.089407,km,262000000,vehicle km traveled (VKT),Mirpur Urban Area in Azad Kashmir Division
road-transportation,1/1/2021,12/31/2021,co2,45024.48727,0.000171761,T of CO2 per VKT,360.089407,km,262000000,vehicle km traveled (VKT),Mirpur Urban Area in Azad Kashmir Division
road-transportation,1/1/2021,12/31/2021,ch4,5.516482626,2.10E-08,T of CH4 per VKT,360.089407,km,262000000,vehicle km traveled (VKT),Mirpur Urban Area in Azad Kashmir Division
road-transportation,1/1/2022,12/31/2022,n2o,1.54870701,5.77E-09,T of N2O per VKT,360.7961559,km,268000000,vehicle km traveled (VKT),Mirpur Urban Area in Azad Kashmir Division
road-transportation,1/1/2022,12/31/2022,co2,46064.47379,0.000171761,T of CO2 per VKT,360.7961559,km,268000000,vehicle km traveled (VKT),Mirpur Urban Area in Azad Kashmir Division
road-transportation,1/1/2022,12/31/2022,ch4,5.643903679,2.10E-08,T of CH4 per VKT,360.7961559,km,268000000,vehicle km traveled (VKT),Mirpur Urban Area in Azad Kashmir Division
road-transportation,1/1/2021,12/31/2021,n2o,1.380137395,5.77E-09,T of N2O per VKT,245.7877854,km,239000000,vehicle km traveled (VKT),Chichawatni Urban Area in Multan Division
road-transportation,1/1/2021,12/31/2021,co2,41050.56827,0.000171761,T of CO2 per VKT,245.7877854,km,239000000,vehicle km traveled (VKT),Chichawatni Urban Area in Multan Division
road-transportation,1/1/2021,12/31/2021,ch4,5.029590793,2.10E-08,T of CH4 per VKT,245.7877854,km,239000000,vehicle km traveled (VKT),Chichawatni Urban Area in Multan Division
road-transportation,1/1/2022,12/31/2022,n2o,1.505743462,5.77E-09,T of N2O per VKT,290.1060766,km,261000000,vehicle km traveled (VKT),Chichawatni Urban Area in Multan Division
road-transportation,1/1/2022,12/31/2022,co2,44786.57344,0.000171761,T of CO2 per VKT,290.1060766,km,261000000,vehicle km traveled (VKT),Chichawatni Urban Area in Multan Division
road-transportation,1/1/2022,12/31/2022,ch4,5.487332988,2.10E-08,T of CH4 per VKT,290.1060766,km,261000000,vehicle km traveled (VKT),Chichawatni Urban Area in Multan Division
road-transportation,1/1/2021,12/31/2021,n2o,1.281545722,5.77E-09,T of N2O per VKT,205.0079875,km,222000000,vehicle km traveled (VKT),N/A Urban Area in Lahore Division
road-transportation,1/1/2021,12/31/2021,co2,38118.07458,0.000171761,T of CO2 per VKT,205.0079875,km,222000000,vehicle km traveled (VKT),N/A Urban Area in Lahore Division
road-transportation,1/1/2021,12/31/2021,ch4,4.670296297,2.10E-08,T of CH4 per VKT,205.0079875,km,222000000,vehicle km traveled (VKT),N/A Urban Area in Lahore Division
road-transportation,1/1/2022,12/31/2022,n2o,1.467079391,5.77E-09,T of N2O per VKT,238.194451,km,254000000,vehicle km traveled (VKT),N/A Urban Area in Lahore Division
road-transportation,1/1/2022,12/31/2022,co2,43636.55598,0.000171761,T of CO2 per VKT,238.194451,km,254000000,vehicle km traveled (VKT),N/A Urban Area in Lahore Division
road-transportation,1/1/2022,12/31/2022,ch4,5.346430743,2.10E-08,T of CH4 per VKT,238.194451,km,254000000,vehicle km traveled (VKT),N/A Urban Area in Lahore Division
road-transportation,1/1/2021,12/31/2021,n2o,1.086279251,5.77E-09,T of N2O per VKT,189.3693017,km,188000000,vehicle km traveled (VKT),Ghaseet pura69 RB Urban Area in Lahore Division
road-transportation,1/1/2021,12/31/2021,co2,32310.10239,0.000171761,T of CO2 per VKT,189.3693017,km,188000000,vehicle km traveled (VKT),Ghaseet pura69 RB Urban Area in Lahore Division
road-transportation,1/1/2021,12/31/2021,ch4,3.958692909,2.10E-08,T of CH4 per VKT,189.3693017,km,188000000,vehicle km traveled (VKT),Ghaseet pura69 RB Urban Area in Lahore Division
road-transportation,1/1/2022,12/31/2022,n2o,1.463203225,5.77E-09,T of N2O per VKT,270.1912119,km,253000000,vehicle km traveled (VKT),Ghaseet pura69 RB Urban Area in Lahore Division
road-transportation,1/1/2022,12/31/2022,co2,43521.26397,0.000171761,T of CO2 per VKT,270.1912119,km,253000000,vehicle km traveled (VKT),Ghaseet pura69 RB Urban Area in Lahore Division
road-transportation,1/1/2022,12/31/2022,ch4,5.332304954,2.10E-08,T of CH4 per VKT,270.1912119,km,253000000,vehicle km traveled (VKT),Ghaseet pura69 RB Urban Area in Lahore Division
road-transportation,1/1/2021,12/31/2021,n2o,1.389568679,5.77E-09,T of N2O per VKT,300.5085099,km,241000000,vehicle km traveled (VKT),Bhalwal Urban Area in Sargodha Division
road-transportation,1/1/2021,12/31/2021,co2,41331.09075,0.000171761,T of CO2 per VKT,300.5085099,km,241000000,vehicle km traveled (VKT),Bhalwal Urban Area in Sargodha Division
road-transportation,1/1/2021,12/31/2021,ch4,5.063960921,2.10E-08,T of CH4 per VKT,300.5085099,km,241000000,vehicle km traveled (VKT),Bhalwal Urban Area in Sargodha Division
road-transportation,1/1/2022,12/31/2022,n2o,1.444178297,5.77E-09,T of N2O per VKT,302.137808,km,250000000,vehicle km traveled (VKT),Bhalwal Urban Area in Sargodha Division
road-transportation,1/1/2022,12/31/2022,co2,42955.38979,0.000171761,T of CO2 per VKT,302.137808,km,250000000,vehicle km traveled (VKT),Bhalwal Urban Area in Sargodha Division
road-transportation,1/1/2022,12/31/2022,ch4,5.262973014,2.10E-08,T of CH4 per VKT,302.137808,km,250000000,vehicle km traveled (VKT),Bhalwal Urban Area in Sargodha Division
road-transportation,1/1/2021,12/31/2021,n2o,1.018567715,5.77E-09,T of N2O per VKT,177.0310217,km,176000000,vehicle km traveled (VKT),Sukkur Urban Area in Larkana Division
road-transportation,1/1/2021,12/31/2021,co2,30296.10217,0.000171761,T of CO2 per VKT,177.0310217,km,176000000,vehicle km traveled (VKT),Sukkur Urban Area in Larkana Division
road-transportation,1/1/2021,12/31/2021,ch4,3.711933914,2.10E-08,T of CH4 per VKT,177.0310217,km,176000000,vehicle km traveled (VKT),Sukkur Urban Area in Larkana Division
road-transportation,1/1/2022,12/31/2022,n2o,1.39396019,5.77E-09,T of N2O per VKT,265.3742647,km,241000000,vehicle km traveled (VKT),Sukkur Urban Area in Larkana Division
road-transportation,1/1/2022,12/31/2022,co2,41461.71109,0.000171761,T of CO2 per VKT,265.3742647,km,241000000,vehicle km traveled (VKT),Sukkur Urban Area in Larkana Division
road-transportation,1/1/2022,12/31/2022,ch4,5.079964765,2.10E-08,T of CH4 per VKT,265.3742647,km,241000000,vehicle km traveled (VKT),Sukkur Urban Area in Larkana Division
road-transportation,1/1/2021,12/31/2021,n2o,1.233532238,5.77E-09,T of N2O per VKT,265.1395846,km,214000000,vehicle km traveled (VKT),Turbat Urban Area in Makran Division
road-transportation,1/1/2021,12/31/2021,co2,36689.96982,0.000171761,T of CO2 per VKT,265.1395846,km,214000000,vehicle km traveled (VKT),Turbat Urban Area in Makran Division
road-transportation,1/1/2021,12/31/2021,ch4,4.495322286,2.10E-08,T of CH4 per VKT,265.1395846,km,214000000,vehicle km traveled (VKT),Turbat Urban Area in Makran Division
road-transportation,1/1/2022,12/31/2022,n2o,1.381056713,5.77E-09,T of N2O per VKT,302.1203333,km,239000000,vehicle km traveled (VKT),Turbat Urban Area in Makran Division
road-transportation,1/1/2022,12/31/2022,co2,41077.91232,0.000171761,T of CO2 per VKT,302.1203333,km,239000000,vehicle km traveled (VKT),Turbat Urban Area in Makran Division
road-transportation,1/1/2022,12/31/2022,ch4,5.032941036,2.10E-08,T of CH4 per VKT,302.1203333,km,239000000,vehicle km traveled (VKT),Turbat Urban Area in Makran Division
road-transportation,1/1/2021,12/31/2021,n2o,1.361389344,5.77E-09,T of N2O per VKT,285.1997459,km,236000000,vehicle km traveled (VKT),Chenab Nagar Urban Area in Faisalabad Division
road-transportation,1/1/2021,12/31/2021,co2,40492.92948,0.000171761,T of CO2 per VKT,285.1997459,km,236000000,vehicle km traveled (VKT),Chenab Nagar Urban Area in Faisalabad Division
road-transportation,1/1/2021,12/31/2021,ch4,4.961267867,2.10E-08,T of CH4 per VKT,285.1997459,km,236000000,vehicle km traveled (VKT),Chenab Nagar Urban Area in Faisalabad Division
road-transportation,1/1/2022,12/31/2022,n2o,1.37243416,5.77E-09,T of N2O per VKT,288.8974136,km,238000000,vehicle km traveled (VKT),Chenab Nagar Urban Area in Faisalabad Division
road-transportation,1/1/2022,12/31/2022,co2,40821.44459,0.000171761,T of CO2 per VKT,288.8974136,km,238000000,vehicle km traveled (VKT),Chenab Nagar Urban Area in Faisalabad Division
road-transportation,1/1/2022,12/31/2022,ch4,5.00151814,2.10E-08,T of CH4 per VKT,288.8974136,km,238000000,vehicle km traveled (VKT),Chenab Nagar Urban Area in Faisalabad Division
road-transportation,1/1/2021,12/31/2021,n2o,1.294020343,5.77E-09,T of N2O per VKT,272.7297724,km,224000000,vehicle km traveled (VKT),Jhelum Urban Area in Rawalpindi Division
road-transportation,1/1/2021,12/31/2021,co2,38489.11755,0.000171761,T of CO2 per VKT,272.7297724,km,224000000,vehicle km traveled (VKT),Jhelum Urban Area in Rawalpindi Division
road-transportation,1/1/2021,12/31/2021,ch4,4.71575716,2.10E-08,T of CH4 per VKT,272.7297724,km,224000000,vehicle km traveled (VKT),Jhelum Urban Area in Rawalpindi Division
road-transportation,1/1/2022,12/31/2022,n2o,1.343865515,5.77E-09,T of N2O per VKT,277.7643569,km,233000000,vehicle km traveled (VKT),Jhelum Urban Area in Rawalpindi Division
road-transportation,1/1/2022,12/31/2022,co2,39971.70372,0.000171761,T of CO2 per VKT,277.7643569,km,233000000,vehicle km traveled (VKT),Jhelum Urban Area in Rawalpindi Division
road-transportation,1/1/2022,12/31/2022,ch4,4.897406334,2.10E-08,T of CH4 per VKT,277.7643569,km,233000000,vehicle km traveled (VKT),Jhelum Urban Area in Rawalpindi Division
road-transportation,1/1/2021,12/31/2021,n2o,1.295933805,5.77E-09,T of N2O per VKT,301.724221,km,224000000,vehicle km traveled (VKT),Narowal Urban Area in Gujranwala Division
road-transportation,1/1/2021,12/31/2021,co2,38546.03125,0.000171761,T of CO2 per VKT,301.724221,km,224000000,vehicle km traveled (VKT),Narowal Urban Area in Gujranwala Division
road-transportation,1/1/2021,12/31/2021,ch4,4.722730331,2.10E-08,T of CH4 per VKT,301.724221,km,224000000,vehicle km traveled (VKT),Narowal Urban Area in Gujranwala Division
road-transportation,1/1/2022,12/31/2022,n2o,1.326592813,5.77E-09,T of N2O per VKT,303.165165,km,230000000,vehicle km traveled (VKT),Narowal Urban Area in Gujranwala Division
road-transportation,1/1/2022,12/31/2022,co2,39457.94748,0.000171761,T of CO2 per VKT,303.165165,km,230000000,vehicle km traveled (VKT),Narowal Urban Area in Gujranwala Division
road-transportation,1/1/2022,12/31/2022,ch4,4.834459977,2.10E-08,T of CH4 per VKT,303.165165,km,230000000,vehicle km traveled (VKT),Narowal Urban Area in Gujranwala Division
road-transportation,1/1/2021,12/31/2021,n2o,1.104785881,5.77E-09,T of N2O per VKT,173.3956508,km,191000000,vehicle km traveled (VKT),Gilgit Urban Area in Northern Areas Division
road-transportation,1/1/2021,12/31/2021,co2,32860.56039,0.000171761,T of CO2 per VKT,173.3956508,km,191000000,vehicle km traveled (VKT),Gilgit Urban Area in Northern Areas Division
road-transportation,1/1/2021,12/31/2021,ch4,4.026136031,2.10E-08,T of CH4 per VKT,173.3956508,km,191000000,vehicle km traveled (VKT),Gilgit Urban Area in Northern Areas Division
road-transportation,1/1/2022,12/31/2022,n2o,1.32389062,5.77E-09,T of N2O per VKT,222.6541165,km,229000000,vehicle km traveled (VKT),Gilgit Urban Area in Northern Areas Division
road-transportation,1/1/2022,12/31/2022,co2,39377.5739,0.000171761,T of CO2 per VKT,222.6541165,km,229000000,vehicle km traveled (VKT),Gilgit Urban Area in Northern Areas Division
road-transportation,1/1/2022,12/31/2022,ch4,4.82461246,2.10E-08,T of CH4 per VKT,222.6541165,km,229000000,vehicle km traveled (VKT),Gilgit Urban Area in Northern Areas Division
road-transportation,1/1/2021,12/31/2021,n2o,1.415285736,5.77E-09,T of N2O per VKT,280.8357212,km,245000000,vehicle km traveled (VKT),Shikarpur Urban Area in Larkana Division
road-transportation,1/1/2021,12/31/2021,co2,42096.01446,0.000171761,T of CO2 per VKT,280.8357212,km,245000000,vehicle km traveled (VKT),Shikarpur Urban Area in Larkana Division
road-transportation,1/1/2021,12/31/2021,ch4,5.157680775,2.10E-08,T of CH4 per VKT,280.8357212,km,245000000,vehicle km traveled (VKT),Shikarpur Urban Area in Larkana Division
road-transportation,1/1/2022,12/31/2022,n2o,1.299091214,5.77E-09,T of N2O per VKT,282.6002107,km,225000000,vehicle km traveled (VKT),Shikarpur Urban Area in Larkana Division
road-transportation,1/1/2022,12/31/2022,co2,38639.94466,0.000171761,T of CO2 per VKT,282.6002107,km,225000000,vehicle km traveled (VKT),Shikarpur Urban Area in Larkana Division
road-transportation,1/1/2022,12/31/2022,ch4,4.734236774,2.10E-08,T of CH4 per VKT,282.6002107,km,225000000,vehicle km traveled (VKT),Shikarpur Urban Area in Larkana Division
road-transportation,1/1/2021,12/31/2021,n2o,1.196972201,5.77E-09,T of N2O per VKT,257.9609796,km,207000000,vehicle km traveled (VKT),Bani Gala Urban Area in Islamabad Division
road-transportation,1/1/2021,12/31/2021,co2,35602.53439,0.000171761,T of CO2 per VKT,257.9609796,km,207000000,vehicle km traveled (VKT),Bani Gala Urban Area in Islamabad Division
road-transportation,1/1/2021,12/31/2021,ch4,4.362087706,2.10E-08,T of CH4 per VKT,257.9609796,km,207000000,vehicle km traveled (VKT),Bani Gala Urban Area in Islamabad Division
road-transportation,1/1/2022,12/31/2022,n2o,1.285866868,5.77E-09,T of N2O per VKT,277.9358029,km,223000000,vehicle km traveled (VKT),Bani Gala Urban Area in Islamabad Division
road-transportation,1/1/2022,12/31/2022,co2,38246.602,0.000171761,T of CO2 per VKT,277.9358029,km,223000000,vehicle km traveled (VKT),Bani Gala Urban Area in Islamabad Division
road-transportation,1/1/2022,12/31/2022,ch4,4.686043711,2.10E-08,T of CH4 per VKT,277.9358029,km,223000000,vehicle km traveled (VKT),Bani Gala Urban Area in Islamabad Division
road-transportation,1/1/2021,12/31/2021,n2o,1.118880927,5.77E-09,T of N2O per VKT,205.4543788,km,194000000,vehicle km traveled (VKT),Hub Urban Area in Kalat Division
road-transportation,1/1/2021,12/31/2021,co2,33279.80102,0.000171761,T of CO2 per VKT,205.4543788,km,194000000,vehicle km traveled (VKT),Hub Urban Area in Kalat Division
road-transportation,1/1/2021,12/31/2021,ch4,4.077502161,2.10E-08,T of CH4 per VKT,205.4543788,km,194000000,vehicle km traveled (VKT),Hub Urban Area in Kalat Division
road-transportation,1/1/2022,12/31/2022,n2o,1.200450207,5.77E-09,T of N2O per VKT,211.9080325,km,208000000,vehicle km traveled (VKT),Hub Urban Area in Kalat Division
road-transportation,1/1/2022,12/31/2022,co2,35705.98359,0.000171761,T of CO2 per VKT,211.9080325,km,208000000,vehicle km traveled (VKT),Hub Urban Area in Kalat Division
road-transportation,1/1/2022,12/31/2022,ch4,4.374762492,2.10E-08,T of CH4 per VKT,211.9080325,km,208000000,vehicle km traveled (VKT),Hub Urban Area in Kalat Division
road-transportation,1/1/2021,12/31/2021,n2o,1.038447564,5.77E-09,T of N2O per VKT,192.9644166,km,180000000,vehicle km traveled (VKT),Lodhran Urban Area in Multan Division
road-transportation,1/1/2021,12/31/2021,co2,30887.40496,0.000171761,T of CO2 per VKT,192.9644166,km,180000000,vehicle km traveled (VKT),Lodhran Urban Area in Multan Division
road-transportation,1/1/2021,12/31/2021,ch4,3.784381415,2.10E-08,T of CH4 per VKT,192.9644166,km,180000000,vehicle km traveled (VKT),Lodhran Urban Area in Multan Division
road-transportation,1/1/2022,12/31/2022,n2o,1.196599401,5.77E-09,T of N2O per VKT,216.405401,km,207000000,vehicle km traveled (VKT),Lodhran Urban Area in Multan Division
road-transportation,1/1/2022,12/31/2022,co2,35591.44587,0.000171761,T of CO2 per VKT,216.405401,km,207000000,vehicle km traveled (VKT),Lodhran Urban Area in Multan Division
road-transportation,1/1/2022,12/31/2022,ch4,4.36072912,2.10E-08,T of CH4 per VKT,216.405401,km,207000000,vehicle km traveled (VKT),Lodhran Urban Area in Multan Division
road-transportation,1/1/2021,12/31/2021,n2o,0.898776415,5.77E-09,T of N2O per VKT,139.3696153,km,156000000,vehicle km traveled (VKT),Gwadar Urban Area in Makran Division
road-transportation,1/1/2021,12/31/2021,co2,26733.05042,0.000171761,T of CO2 per VKT,139.3696153,km,156000000,vehicle km traveled (VKT),Gwadar Urban Area in Makran Division
road-transportation,1/1/2021,12/31/2021,ch4,3.275382289,2.10E-08,T of CH4 per VKT,139.3696153,km,156000000,vehicle km traveled (VKT),Gwadar Urban Area in Makran Division
road-transportation,1/1/2022,12/31/2022,n2o,1.134249949,5.77E-09,T of N2O per VKT,191.0192337,km,196000000,vehicle km traveled (VKT),Gwadar Urban Area in Makran Division
road-transportation,1/1/2022,12/31/2022,co2,33736.93456,0.000171761,T of CO2 per VKT,191.0192337,km,196000000,vehicle km traveled (VKT),Gwadar Urban Area in Makran Division
road-transportation,1/1/2022,12/31/2022,ch4,4.133510999,2.10E-08,T of CH4 per VKT,191.0192337,km,196000000,vehicle km traveled (VKT),Gwadar Urban Area in Makran Division
road-transportation,1/1/2021,12/31/2021,n2o,0.940299155,5.77E-09,T of N2O per VKT,190.3275261,km,163000000,vehicle km traveled (VKT),Ahmadpur East Urban Area in Bahawalpur Division
road-transportation,1/1/2021,12/31/2021,co2,27968.09563,0.000171761,T of CO2 per VKT,190.3275261,km,163000000,vehicle km traveled (VKT),Ahmadpur East Urban Area in Bahawalpur Division
road-transportation,1/1/2021,12/31/2021,ch4,3.42670229,2.10E-08,T of CH4 per VKT,190.3275261,km,163000000,vehicle km traveled (VKT),Ahmadpur East Urban Area in Bahawalpur Division
road-transportation,1/1/2022,12/31/2022,n2o,1.096736769,5.77E-09,T of N2O per VKT,211.4206041,km,190000000,vehicle km traveled (VKT),Ahmadpur East Urban Area in Bahawalpur Division
road-transportation,1/1/2022,12/31/2022,co2,32621.14902,0.000171761,T of CO2 per VKT,211.4206041,km,190000000,vehicle km traveled (VKT),Ahmadpur East Urban Area in Bahawalpur Division
road-transportation,1/1/2022,12/31/2022,ch4,3.996802911,2.10E-08,T of CH4 per VKT,211.4206041,km,190000000,vehicle km traveled (VKT),Ahmadpur East Urban Area in Bahawalpur Division
road-transportation,1/1/2021,12/31/2021,n2o,1.022513996,5.77E-09,T of N2O per VKT,249.4261695,km,177000000,vehicle km traveled (VKT),Sangla Hill Urban Area in Lahore Division
